170,dirty_harry,,Movie
171,clockwork_orange,,Movie
172,willy_wonka_and_the_chocolate_factory,,Movie
173,mccabe_and_mrs_miller,,Movie
174,thx_1138,,Movie
175,harold_and_maude,,Movie
176,diamonds_are_forever,james_bond_007,Movie
177,godfather,,Movie
178,discreet_charm_of_the_bourgeoisie,,Movie
179,aguirre_the_wrath_of_god,,Movie
180,deliverance,,Movie
181,1006345-duel,,Movie
182,pink_flamingos,,Movie
183,playtime,,Movie
184,mean_streets,,Movie
185,dont_look_now,,Movie
186,enter_the_dragon,,Movie
187,american_graffiti,,Movie
188,1020130-sting,,Movie
189,the_wicker_man_1973,,Movie
190,exorcist,the_exorcist,Movie
191,ziggy_stardust_and_the_spiders_from_mars_1973,,Movie
192,live_and_let_die,james_bond_007,Movie
193,godfather_part_ii,,Movie
194,chinatown,,Movie
195,1001577-badlands,,Movie
196,conversation,,Movie
197,young_frankenstein,,Movie
198,blazing_saddles,,Movie
199,amarcord,,Movie
200,1021112-texas_chainsaw_massacre,,Movie
201,f_for_fake,,Movie
202,man_with_the_golden_gun,james_bond_007,Movie
203,jaws,,Movie
204,monty_python_and_the_holy_grail,,Movie
205,barry_lyndon,,Movie
206,one_flew_over_the_cuckoos_nest,,Movie
207,dog_day_afternoon,,Movie
208,nashville,,Movie
209,the-passenger-professione-reporter,,Movie
210,three_days_of_the_condor,,Movie
211,rocky_horror_picture_show,,Movie
212,taxi_driver,,Movie
213,1001280-assault_on_precinct_13,,Movie
214,solaris_1976,,Movie
215,1003625-carrie,,Movie
216,1017776-rocky,rocky,Movie
217,all_the_presidents_men,,Movie
218,network,,Movie
219,1015517-omen,,Movie
220,man_who_fell_to_earth,,Movie
221,star_wars,star_wars_saga,Movie
222,annie_hall,,Movie
223,close_encounters_of_the_third_kind,,Movie
224,eraserhead,,Movie
225,1020662-suspiria,,Movie
226,saturday_night_fever,,Movie
227,spy_who_loved_me,james_bond_007,Movie
228,the_last_waltz_1978,,Movie
229,deer_hunter,,Movie
230,superman_the_movie,superman_the_movie,Movie
231,1010679-invasion_of_the_body_snatchers,,Movie
232,days_of_heaven,,Movie
233,1009113-halloween,,Movie
234,national_lampoons_animal_house,,Movie
235,grease,,Movie
236,alien,alien,Movie
237,apocalypse_now,,Movie
238,monty_pythons_life_of_brian,,Movie
239,manhattan,,Movie
240,being_there,,Movie
241,nosferatu_the_vampyre,,Movie
242,1005339-dawn_of_the_dead,,Movie
243,mad_max,,Movie
244,muppet_movie,,Movie
245,kramer_vs_kramer,,Movie
246,1007617-fog,,Movie
247,1014217-moonraker,james_bond_007,Movie
248,empire_strikes_back,star_wars_saga,Movie
249,airplane,,Movie
250,raging_bull,,Movie
251,big_red_one,,Movie
252,shining,,Movie
253,1006527-elephant_man,,Movie
254,ordinary_people,,Movie
255,blues_brothers,,Movie
256,altered_states,,Movie
257,1006299-dressed_to_kill,,Movie
258,caddyshack,,Movie
259,friday_the_13th_part_1,,Movie
260,heavens_gate,,Movie
261,cruising,,Movie
262,1005973-diva,,Movie
263,das_boot,,Movie
264,raiders_of_the_lost_ark,indiana_jones,Movie
265,the-evil-dead,,Movie
266,time_bandits,,Movie
267,american_werewolf_in_london,,Movie
268,1008074-gallipoli,,Movie
269,blow_out,,Movie
270,superman_ii,superman_the_movie,Movie
271,1006717-escape_from_new_york,,Movie
272,chariots_of_fire,,Movie
273,excalibur,,Movie
274,for_your_eyes_only,james_bond_007,Movie
275,et_the_extraterrestrial,,Movie
276,mad_max_2_the_road_warrior,,Movie
277,blade_runner,blade_runner,Movie
278,tootsie,,Movie
279,star_trek_ii_the_wrath_of_khan,star_trek,Movie
280,gandhi,,Movie
281,first_blood,,Movie
282,1016513-poltergeist,,Movie
283,1021244-thing,,Movie
284,fast_times_at_ridgemont_high,,Movie
285,tron,,Movie
286,1003758-cat_people,,Movie
287,right_stuff,,Movie
288,1017641-risky_business,,Movie
289,national_lampoons_vacation,,Movie
290,wargames,,Movie
291,1011623-king_of_comedy,,Movie
292,1004151-christmas_story,,Movie
293,dead_zone,,Movie
294,terms_of_endearment,,Movie
295,trading_places,,Movie
296,star_wars_episode_vi_return_of_the_jedi,star_wars_saga,Movie
297,scarface,,Movie
298,videodrome,,Movie
299,never_say_never_again,james_bond_007,Movie
300,octopussy,james_bond_007,Movie
